contributor,bothunter_type,app
Anurag-Varma,Human,False
DilumAluthgeBot,Human,False
ElektrikAkar,Human,False
JuliaRegistrator,Bot,False
ManonMarchand,Human,False
RussellGarwood,Human,False
VincentAuriau,Human,False
aloctavodia,Human,False
avehtari,Human,False
bioc-issue-bot,Bot,False
bozaah,Human,False
chainer-ci,Bot,False
cpondoc,Human,False
doronbehar,Human,False
fingolfin,Human,False
github-actions[bot],Bot,True
github-advanced-security[bot],Bot,True
hackmd-hub[bot],Bot,True
harperjf,Human,False
jClugstor,Human,False
jmineau,Human,False
kanav99,Human,False
ldouteau,Human,False
lumberbot-app[bot],Bot,True
martenson,Human,False
mergify[bot],Bot,True
mikelkou,Human,False
natalie-wa,Human,False
oscarbenjamin,Human,False
plover0226,Human,False
rtimms,Human,False
scverse-bot,Bot,False
slager,Human,False
spyder-bot,Bot,False
sympy-bot,Bot,False
timholy,Human,False
transifex-integration[bot],Bot,True
weblate,Bot,False
welcome[bot],Bot,True
wlandau,Human,False
