contributor,bothunter_type,app,bimbas_type,confidence
Anurag-Varma,Human,False,Human,0.862
DilumAluthgeBot,Human,False,Bot,0.894
ElektrikAkar,Human,False,Human,0.781
JuliaRegistrator,Bot,False,Bot,0.886
ManonMarchand,Human,False,Human,0.903
RussellGarwood,Human,False,Bot,0.89
VincentAuriau,Human,False,Bot,0.731
aloctavodia,Human,False,Human,0.63
avehtari,Human,False,Human,0.776
bioc-issue-bot,Bot,False,Bot,0.548
bozaah,Human,False,Human,0.914
chainer-ci,Bot,False,Bot,0.723
cpondoc,Human,False,Bot,0.84
doronbehar,Human,False,Human,0.916
fingolfin,Human,False,Human,0.803
github-actions[bot],Bot,True,Bot,0.145
github-advanced-security[bot],Bot,True,Bot,0.703
hackmd-hub[bot],Bot,True,Bot,0.751
harperjf,Human,False,Bot,0.857
jClugstor,Human,False,Human,0.809
jmineau,Human,False,Human,0.802
kanav99,Human,False,Bot,0.8
ldouteau,Human,False,Human,0.776
lumberbot-app[bot],Bot,True,Bot,0.912
martenson,Human,False,Human,0.834
mergify[bot],Bot,True,Human,0.786
mikelkou,Human,False,Human,0.855
natalie-wa,Human,False,Human,0.715
oscarbenjamin,Human,False,Human,0.714
plover0226,Human,False,Bot,0.752
rtimms,Human,False,Human,0.851
scverse-bot,Bot,False,Bot,0.262
slager,Human,False,Human,0.817
spyder-bot,Bot,False,Bot,0.692
sympy-bot,Bot,False,Bot,0.911
timholy,Human,False,Human,0.9
transifex-integration[bot],Bot,True,Bot,0.535
weblate,Bot,False,Bot,0.866
welcome[bot],Bot,True,Bot,0.727
wlandau,Human,False,Human,0.897
